iter	Passed	Remaining
462	777	901
463	778	899
464	779	896
465	780	894
466	782	892
467	783	890
468	784	887
469	785	885
470	787	884
471	788	882
472	790	880
473	791	878
474	792	876
475	794	874
476	795	872
477	796	870
478	798	868
479	799	866
480	800	864
481	802	862
482	803	860
483	804	858
484	806	856
485	807	854
486	809	852
487	810	850
488	812	848
489	813	846
490	814	844
491	816	842
492	817	841
493	819	839
494	820	837
495	821	835
496	823	833
497	824	831
498	826	829
499	827	827
500	828	825
501	829	823
502	831	821
503	832	819
504	833	817
505	834	814
506	835	812
507	837	810
508	838	808
509	840	807
510	841	805
511	842	803
512	844	801
513	845	799
514	847	797
515	848	795
516	849	793
517	851	792
518	852	790
519	853	788
520	855	786
521	856	784
522	858	783
523	860	781
524	861	779
525	862	777
526	864	775
527	865	773
528	866	771
529	868	769
530	869	767
531	870	765
532	872	764
533	873	762
534	874	760
535	876	758
536	877	756
537	879	754
538	880	753
539	882	751
540	883	749
541	884	747
542	885	745
543	887	743
544	888	742
545	890	740
546	891	738
547	892	736
548	894	734
549	895	733
550	897	731
551	898	729
552	899	727
553	900	725
554	902	723
555	903	721
556	904	719
557	906	717
558	907	715
559	908	714
560	910	712
561	911	710
562	913	708
563	914	707
564	916	705
565	917	703
566	918	701
567	919	699
568	921	697
569	922	695
570	923	693
571	924	692
572	925	690
573	927	688
574	928	686
575	929	684
576	930	682
577	932	680
578	933	678
579	934	676
580	935	674
581	937	673
582	938	671
583	939	669
584	941	667
585	942	665
586	943	664
587	945	662
588	946	660
589	947	658
590	948	656
591	950	654
592	951	652
593	952	650
594	953	649
595	954	647
596	956	645
597	957	643
598	958	641
599	960	640
600	961	638
601	962	636
602	963	634
603	965	632
604	966	630
605	967	628
606	968	627
607	969	625
608	970	623
609	972	621
610	973	619
611	974	618
612	976	616
613	977	614
614	978	612
615	980	610
616	981	609
617	982	607
618	983	605
619	985	603
620	986	601
621	987	600
622	988	598
623	989	596
624	991	594
625	992	592
626	993	591
627	994	589
628	995	587
629	997	585
630	998	583
631	999	582
632	1000	580
633	1002	578
634	1003	576
635	1004	575
636	1006	573
637	1007	571
638	1008	569
639	1009	568
640	1010	566
641	1012	564
642	1013	562
643	1014	560
644	1015	558
645	1016	557
646	1017	555
647	1019	553
648	1020	551
649	1021	550
650	1022	548
651	1024	546
652	1025	544
653	1026	543
654	1028	541
655	1029	539
656	1030	538
657	1032	536
658	1033	534
659	1034	532
660	1035	531
661	1036	529
662	1038	527
663	1039	526
664	1040	524
665	1042	522
666	1043	521
667	1045	519
668	1046	517
669	1048	516
670	1049	514
671	1050	512
672	1052	511
673	1053	509
674	1054	507
675	1056	506
676	1057	504
677	1058	502
678	1060	501
679	1061	499
680	1062	497
681	1063	496
682	1065	494
683	1066	492
684	1068	491
685	1069	489
686	1070	487
687	1071	486
688	1072	484
689	1074	482
690	1075	481
691	1077	479
692	1078	477
693	1079	475
694	1080	474
695	1081	472
696	1083	470
697	1084	469
698	1085	467
699	1086	465
700	1088	464
701	1089	462
702	1090	460
703	1091	459
704	1093	457
705	1094	455
706	1095	454
707	1097	452
708	1098	450
709	1099	449
710	1101	447
711	1102	445
712	1104	444
713	1105	442
714	1106	441
715	1107	439
716	1109	437
717	1110	436
718	1111	434
719	1112	432
720	1114	431
721	1115	429
722	1116	427
723	1117	426
724	1118	424
725	1120	422
726	1121	421
727	1122	419
728	1123	417
729	1125	416
730	1126	414
731	1127	412
732	1129	411
733	1130	409
734	1131	408
735	1133	406
736	1134	404
737	1135	403
738	1136	401
739	1138	399
740	1139	398
741	1141	396
742	1142	395
743	1144	393
744	1145	392
745	1146	390
746	1148	388
747	1149	387
748	1150	385
749	1152	384
750	1153	382
751	1154	380
752	1155	379
753	1156	377
754	1158	375
755	1159	374
756	1160	372
757	1161	370
758	1163	369
759	1164	367
760	1165	366
761	1166	364
762	1168	362
763	1169	361
764	1170	359
765	1171	358
766	1173	356
767	1174	354
768	1175	353
769	1177	351
770	1178	350
771	1180	348
772	1181	346
773	1182	345
774	1184	343
775	1185	342
776	1186	340
777	1187	338
778	1188	337
779	1190	335
780	1191	334
781	1192	332
782	1194	330
783	1195	329
784	1196	327
785	1197	326
